,id,What age range are you?,What is your gender?,What estimated range is your household's monthly income?,"Which area are you from? If not from Karachi please select ""Outside Karachi""",How often do you go to Clifton beach?,Which one of the following statements apply to you?,How do you feel regarding the caretaking and evolution of Clifton beach?,How do you feel regarding the caretaking and evolution of Clifton beach?
70,56dup,15 - 24 years,Female,Prefer not to answer,Gulberg,,,,"Activity (exercising, sports, running, etc)"
71,56dupdup,15 - 24 years,Female,Prefer not to answer,Gulberg,,,,"Commerce (for work, for shopping, for restaurants, etc)"
72,57,15 - 24 years,Female,"125,001 - 150,000 rupees",Gulshan-e-Iqbal,Often (multiple times in a year),,,"Leisure (walking, being with loved ones, etc)"
73,57dup,15 - 24 years,Female,"125,001 - 150,000 rupees",Gulshan-e-Iqbal,,,,"Activity (exercising, sports, running, etc)"
74,58,15 - 24 years,Female,"50,001 - 75,000 rupees",Korangi,Not often - I prefer other beaches,,,"Leisure (walking, being with loved ones, etc)"
75,58dup,15 - 24 years,Female,"50,001 - 75,000 rupees",Korangi,,,,"Activity (exercising, sports, running, etc)"
76,59,15 - 24 years,Female,"125,001 - 150,000 rupees",Gulshan-e-Iqbal,Not often (few times in many years),,,"Leisure (walking, being with loved ones, etc)"
77,60,15 - 24 years,Female,"200,001 and above",Clifton Cantonment,Not often (few times in many years),,,"Commerce (for work, for shopping, for restaurants, etc)"
78,61,15 - 24 years,Female,"125,001 - 150,000 rupees",Gulshan-e-Iqbal,Not often (few times in many years),,,"Leisure (walking, being with loved ones, etc)"
79,61dup,15 - 24 years,Female,"125,001 - 150,000 rupees",Gulshan-e-Iqbal,,,,"Activity (exercising, sports, running, etc)"
80,62,15 - 24 years,Female,"200,001 and above",Clifton Cantonment,Not often (few times in many years),,,"Commerce (for work, for shopping, for restaurants, etc)"
81,63,15 - 24 years,Female,Prefer not to answer,Malir Cantonment,Not often - I prefer other beaches,,,"Leisure (walking, being with loved ones, etc)"
82,64,15 - 24 years,Male,"50,001 - 75,000 rupees",Gulshan-e-Iqbal,Not often (few times in many years),,,"Leisure (walking, being with loved ones, etc)"
83,64dup,15 - 24 years,Male,"50,001 - 75,000 rupees",Gulshan-e-Iqbal,,,,"Activity (exercising, sports, running, etc)"
84,65,15 - 24 years,Female,Prefer not to answer,Gulshan-e-Iqbal,Not often (few times in many years),,,"Activity (exercising, sports, running, etc)"
85,66,15 - 24 years,Female,"50,001 - 75,000 rupees",Gulshan-e-Iqbal,Not often (few times in many years),,,"Leisure (walking, being with loved ones, etc)"
86,67,15 - 24 years,Female,Prefer not to answer,Nazimabad,Not often (few times in many years),,,"Leisure (walking, being with loved ones, etc)"
87,67dup,15 - 24 years,Female,Prefer not to answer,Nazimabad,,,,"Activity (exercising, sports, running, etc)"
88,68,15 - 24 years,Female,Prefer not to answer,Gulshan-e-Iqbal,Often (multiple times in a year),,,"Leisure (walking, being with loved ones, etc)"
89,68dup,15 - 24 years,Female,Prefer not to answer,Gulshan-e-Iqbal,,,,"Activity (exercising, sports, running, etc)"
90,68dupdup,15 - 24 years,Female,Prefer not to answer,Gulshan-e-Iqbal,,,,"Commerce (for work, for shopping, for restaurants, etc)"
91,69,15 - 24 years,Female,"125,001 - 150,000 rupees",Nazimabad,Not often (few times in many years),,,"Leisure (walking, being with loved ones, etc)"
92,69dup,15 - 24 years,Female,"125,001 - 150,000 rupees",Nazimabad,,,,"Activity (exercising, sports, running, etc)"
93,69dupdup,15 - 24 years,Female,"125,001 - 150,000 rupees",Nazimabad,,,,"Commerce (for work, for shopping, for restaurants, etc)"
94,70,15 - 24 years,Female,"150,001 - 175,000 rupees",Gulshan-e-Iqbal,Not often (few times in many years),,,"Leisure (walking, being with loved ones, etc)"
95,71,15 - 24 years,Female,"50,001 - 75,000 rupees",Nazimabad,Not often (few times in many years),,,"Leisure (walking, being with loved ones, etc)"
96,71dup,15 - 24 years,Female,"50,001 - 75,000 rupees",Nazimabad,,,,"Activity (exercising, sports, running, etc)"
97,72,15 - 24 years,Female,"Up to 25,000 rupees",Gulshan-e-Iqbal,Frequently (multiple times a month),,,"Activity (exercising, sports, running, etc)"
98,73,15 - 24 years,Female,"Up to 25,000 rupees",Gulzar-e-Hijri,Not often (few times in many years),,,"Leisure (walking, being with loved ones, etc)"
99,73dup,15 - 24 years,Female,"Up to 25,000 rupees",Gulzar-e-Hijri,,,,"Commerce (for work, for shopping, for restaurants, etc)"
100,73dupdup,15 - 24 years,Female,"Up to 25,000 rupees",Gulzar-e-Hijri,,,,"Activity (exercising, sports, running, etc)"
101,74,15 - 24 years,Female,"200,001 and above",Gulshan-e-Iqbal,Frequently (multiple times a month),,,"Activity (exercising, sports, running, etc)"
102,75,15 - 24 years,Male,"25,001 - 50,000 rupees",Gulshan-e-Iqbal,Not often - I prefer other beaches,,,"Leisure (walking, being with loved ones, etc)"
103,75dup,15 - 24 years,Male,"25,001 - 50,000 rupees",Gulshan-e-Iqbal,,,,"Activity (exercising, sports, running, etc)"
104,75dupdup,15 - 24 years,Male,"25,001 - 50,000 rupees",Gulshan-e-Iqbal,,,,"Commerce (for work, for shopping, for restaurants, etc)"
105,76,15 - 24 years,Female,"200,001 and above",Malir Cantonment,Not often (few times in many years),,,"Leisure (walking, being with loved ones, etc)"
106,77,15 - 24 years,Female,Prefer not to answer,Liaquatabad,Often (multiple times in a year),,,"Leisure (walking, being with loved ones, etc)"
107,77dup,15 - 24 years,Female,Prefer not to answer,Liaquatabad,,,,"Activity (exercising, sports, running, etc)"
108,78,15 - 24 years,Male,Prefer not to answer,Gulshan-e-Iqbal,Often (multiple times in a year),,,"Leisure (walking, being with loved ones, etc)"
109,79,15 - 24 years,Female,"25,001 - 50,000 rupees",Gulberg,Often (multiple times in a year),,,"Leisure (walking, being with loved ones, etc)"
110,80,15 - 24 years,Female,"125,001 - 150,000 rupees",Ferozabad,Not often (few times in many years),,,"Leisure (walking, being with loved ones, etc)"
111,81,15 - 24 years,Male,"50,001 - 75,000 rupees",Nazimabad,Often (multiple times in a year),,,"Leisure (walking, being with loved ones, etc)"
112,81dup,15 - 24 years,Male,"50,001 - 75,000 rupees",Nazimabad,,,,"Activity (exercising, sports, running, etc)"
113,82,15 - 24 years,Female,"200,001 and above",Clifton Cantonment,Not often (few times in many years),,,"Leisure (walking, being with loved ones, etc)"
114,82dup,15 - 24 years,Female,"200,001 and above",Clifton Cantonment,,,,"Activity (exercising, sports, running, etc)"
115,82dupdup,15 - 24 years,Female,"200,001 and above",Clifton Cantonment,,,,"Commerce (for work, for shopping, for restaurants, etc)"
116,83,15 - 24 years,Female,"150,001 - 175,000 rupees",Gulshan-e-Iqbal,Not often (few times in many years),,,"Leisure (walking, being with loved ones, etc)"
117,84,15 - 24 years,Female,"125,001 - 150,000 rupees",Gulshan-e-Iqbal,Not often (few times in many years),,,"Leisure (walking, being with loved ones, etc)"
118,84dup,15 - 24 years,Female,"125,001 - 150,000 rupees",Gulshan-e-Iqbal,,,,"Activity (exercising, sports, running, etc)"
119,84dupdup,15 - 24 years,Female,"125,001 - 150,000 rupees",Gulshan-e-Iqbal,,,,"Commerce (for work, for shopping, for restaurants, etc)"
120,85,15 - 24 years,Female,"200,001 and above",Nazimabad,Not often (few times in many years),,,"Leisure (walking, being with loved ones, etc)"
121,86,15 - 24 years,Female,Prefer not to answer,Shah Faisal,Not often - I prefer other beaches,,,"Leisure (walking, being with loved ones, etc)"
122,86dup,15 - 24 years,Female,Prefer not to answer,Shah Faisal,,,,"Commerce (for work, for shopping, for restaurants, etc)"
123,86dupdup,15 - 24 years,Female,Prefer not to answer,Shah Faisal,,,,"Activity (exercising, sports, running, etc)"
124,87,15 - 24 years,Male,"125,001 - 150,000 rupees",Gulshan-e-Iqbal,Not often - I prefer other beaches,,,"Leisure (walking, being with loved ones, etc)"
125,88,15 - 24 years,Female,"150,001 - 175,000 rupees",Saddar,Often (multiple times in a year),,,"Leisure (walking, being with loved ones, etc)"
126,88dup,15 - 24 years,Female,"150,001 - 175,000 rupees",Saddar,,,,
127,89,15 - 24 years,Male,Prefer not to answer,Gulshan-e-Iqbal,Often (multiple times in a year),,,"Relief (from climate, from stresses, etc)"
128,90,15 - 24 years,Female,"200,001 and above",Faisal Cantonment,Not often (few times in many years),,,"Leisure (walking, being with loved ones, etc)"
129,90dup,15 - 24 years,Female,"200,001 and above",Faisal Cantonment,,,,"Commerce (for work, for shopping, for restaurants, etc)"
130,90dupdup,15 - 24 years,Female,"200,001 and above",Faisal Cantonment,,,,"Activity (exercising, sports, running, etc)"
131,91,25 - 44 years,Female,Prefer not to answer,Shah Faisal,Not often (few times in many years),,,"Leisure (walking, being with loved ones, etc)"
132,92,15 - 24 years,Female,Prefer not to answer,Malir Cantonment,Not often - I prefer other beaches,,,"Leisure (walking, being with loved ones, etc)"
133,93,15 - 24 years,Female,"50,001 - 75,000 rupees",Nazimabad,Not often (few times in many years),,,"Activity (exercising, sports, running, etc)"
134,94,15 - 24 years,Female,"25,001 - 50,000 rupees",Gulzar-e-Hijri,Not often - I prefer other beaches,,,"Leisure (walking, being with loved ones, etc)"
135,94dup,15 - 24 years,Female,"25,001 - 50,000 rupees",Gulzar-e-Hijri,,,,"Commerce (for work, for shopping, for restaurants, etc)"
136,94dupdup,15 - 24 years,Female,"25,001 - 50,000 rupees",Gulzar-e-Hijri,,,,"Activity (exercising, sports, running, etc)"
137,95,15 - 24 years,Female,"125,001 - 150,000 rupees",Nazimabad,Often (multiple times in a year),,,"Leisure (walking, being with loved ones, etc)"
138,95dup,15 - 24 years,Female,"125,001 - 150,000 rupees",Nazimabad,,,,"Activity (exercising, sports, running, etc)"
139,96,15 - 24 years,Male,"125,001 - 150,000 rupees",Ferozabad,Often (multiple times in a year),,,"Leisure (walking, being with loved ones, etc)"
140,97,15 - 24 years,Female,"50,001 - 75,000 rupees",Gulshan-e-Iqbal,Not often (few times in many years),,,"Leisure (walking, being with loved ones, etc)"
141,97dup,15 - 24 years,Female,"50,001 - 75,000 rupees",Gulshan-e-Iqbal,,,,"Activity (exercising, sports, running, etc)"
142,97dupdup,15 - 24 years,Female,"50,001 - 75,000 rupees",Gulshan-e-Iqbal,,,,"Commerce (for work, for shopping, for restaurants, etc)"
143,98,15 - 24 years,Male,"200,001 and above",Gulshan-e-Iqbal,Not often (few times in many years),,,"Relief (from climate, from stresses, etc)"
144,99,15 - 24 years,Male,"50,001 - 75,000 rupees",Gulshan-e-Iqbal,Often (multiple times in a year),,,"Leisure (walking, being with loved ones, etc)"
145,100,15 - 24 years,Female,"125,001 - 150,000 rupees",Gulshan-e-Iqbal,Not often - I prefer other beaches,,,"Leisure (walking, being with loved ones, etc)"
146,100dup,15 - 24 years,Female,"125,001 - 150,000 rupees",Gulshan-e-Iqbal,,,,"Commerce (for work, for shopping, for restaurants, etc)"
147,100dupdup,15 - 24 years,Female,"125,001 - 150,000 rupees",Gulshan-e-Iqbal,,,,"Activity (exercising, sports, running, etc)"
148,101,15 - 24 years,Female,Prefer not to answer,Gulshan-e-Iqbal,Not often (few times in many years),,,"Leisure (walking, being with loved ones, etc)"
149,102,25 - 44 years,Female,"50,001 - 75,000 rupees",Jamshed Quarters,Not often - I prefer other beaches,,,"Activity (exercising, sports, running, etc)"
150,103,15 - 24 years,Female,Prefer not to answer,Karachi Cantonment,Not often (few times in many years),,,"Leisure (walking, being with loved ones, etc)"
151,104,15 - 24 years,Female,"50,001 - 75,000 rupees",Shah Faisal,Often (multiple times in a year),,,"Leisure (walking, being with loved ones, etc)"
152,104dup,15 - 24 years,Female,"50,001 - 75,000 rupees",Shah Faisal,,,,"Commerce (for work, for shopping, for restaurants, etc)"
153,104dupdup,15 - 24 years,Female,"50,001 - 75,000 rupees",Shah Faisal,,,,"Activity (exercising, sports, running, etc)"
154,105,15 - 24 years,Male,Prefer not to answer,Gulshan-e-Iqbal,Frequently (multiple times a month),,,"Leisure (walking, being with loved ones, etc)"
155,105dup,15 - 24 years,Male,Prefer not to answer,Gulshan-e-Iqbal,,,,"Activity (exercising, sports, running, etc)"
156,106,15 - 24 years,Female,"50,001 - 75,000 rupees",Faisal Cantonment,Not often (few times in many years),,,"Leisure (walking, being with loved ones, etc)"
157,106dup,15 - 24 years,Female,"50,001 - 75,000 rupees",Faisal Cantonment,,,,"Activity (exercising, sports, running, etc)"
158,107,15 - 24 years,Female,"25,001 - 50,000 rupees",Jamshed Quarters,Not often (few times in many years),,,"Leisure (walking, being with loved ones, etc)"
159,107dup,15 - 24 years,Female,"25,001 - 50,000 rupees",Jamshed Quarters,,,,"Activity (exercising, sports, running, etc)"
160,107dupdup,15 - 24 years,Female,"25,001 - 50,000 rupees",Jamshed Quarters,,,,"Commerce (for work, for shopping, for restaurants, etc)"
161,108,15 - 24 years,Female,"125,001 - 150,000 rupees",Civil Lines,Not often (few times in many years),,,"Leisure (walking, being with loved ones, etc)"
162,108dup,15 - 24 years,Female,"125,001 - 150,000 rupees",Civil Lines,,,,"Activity (exercising, sports, running, etc)"
163,109,15 - 24 years,Male,"125,001 - 150,000 rupees",Gulshan-e-Iqbal,Often (multiple times in a year),,,"Leisure (walking, being with loved ones, etc)"
164,109dup,15 - 24 years,Male,"125,001 - 150,000 rupees",Gulshan-e-Iqbal,,,,"Activity (exercising, sports, running, etc)"
165,110,15 - 24 years,Female,"25,001 - 50,000 rupees",Jamshed Quarters,Often (multiple times in a year),,,"Leisure (walking, being with loved ones, etc)"
166,110dup,15 - 24 years,Female,"25,001 - 50,000 rupees",Jamshed Quarters,,,,"Activity (exercising, sports, running, etc)"
167,110dupdup,15 - 24 years,Female,"25,001 - 50,000 rupees",Jamshed Quarters,,,,"Commerce (for work, for shopping, for restaurants, etc)"
168,111,15 - 24 years,Male,"200,001 and above",Airport,Not often (few times in many years),,,"Leisure (walking, being with loved ones, etc)"
169,111dup,15 - 24 years,Male,"200,001 and above",Airport,,,,"Activity (exercising, sports, running, etc)"
170,112,15 - 24 years,Female,Prefer not to answer,Gulshan-e-Iqbal,Often (multiple times in a year),,,"Leisure (walking, being with loved ones, etc)"
171,112dup,15 - 24 years,Female,Prefer not to answer,Gulshan-e-Iqbal,,,,"Activity (exercising, sports, running, etc)"
172,113,15 - 24 years,Female,"125,001 - 150,000 rupees",Gulshan-e-Iqbal,Not often (few times in many years),,,"Leisure (walking, being with loved ones, etc)"
173,114,15 - 24 years,Female,Prefer not to answer,Faisal Cantonment,Not often - I prefer other beaches,,,"Leisure (walking, being with loved ones, etc)
"
174,115,15 - 24 years,Female,"200,001 and above",Clifton Cantonment,Often (multiple times in a year),,,"Leisure (walking, being with loved ones, etc)"
175,116,45 years and above,Female,"50,001 - 75,000 rupees",Faisal Cantonment,Not often (few times in many years),,,"Leisure (walking, being with loved ones, etc)"
176,117,15 - 24 years,Female,Prefer not to answer,Gulshan-e-Iqbal,Not often (few times in many years),,,"Leisure (walking, being with loved ones, etc)"
177,117dup,15 - 24 years,Female,Prefer not to answer,Gulshan-e-Iqbal,,,,"Activity (exercising, sports, running, etc)"
178,118,15 - 24 years,Female,"200,001 and above",Nazimabad,Never,,,"Leisure (walking, being with loved ones, etc)"
179,119,25 - 44 years,Female,"125,001 - 150,000 rupees",Gulshan-e-Iqbal,Often (multiple times in a year),,,"Leisure (walking, being with loved ones, etc)"
180,119dup,25 - 44 years,Female,"125,001 - 150,000 rupees",Gulshan-e-Iqbal,,,,"Activity (exercising, sports, running, etc)"
181,120,15 - 24 years,Female,"50,001 - 75,000 rupees",Gulshan-e-Iqbal,Not often (few times in many years),,,"Leisure (walking, being with loved ones, etc)"
182,120dup,15 - 24 years,Female,"50,001 - 75,000 rupees",Gulshan-e-Iqbal,,,,"Activity (exercising, sports, running, etc)"
183,121,25 - 44 years,Female,Prefer not to answer,Shah Faisal,Frequently (multiple times a month),,,"Leisure (walking, being with loved ones, etc)"
184,122,45 years and above,Male,"50,001 - 75,000 rupees",Clifton Cantonment,Often (multiple times in a year),,,"Leisure (walking, being with loved ones, etc)"
185,123,15 - 24 years,Male,"Up to 25,000 rupees",Nazimabad,Not often (few times in many years),,,"Leisure (walking, being with loved ones, etc)"
186,124,25 - 44 years,Female,"Up to 25,000 rupees",Gulshan-e-Iqbal,Not often (few times in many years),,,"Leisure (walking, being with loved ones, etc)"
187,125,45 years and above,Prefer not to answer,"25,001 - 50,000 rupees",Gulshan-e-Iqbal,Not often (few times in many years),,,"Leisure (walking, being with loved ones, etc)"
188,126,25 - 44 years,Male,"Up to 25,000 rupees",Shah Faisal,Not often - I prefer other beaches,,,"Leisure (walking, being with loved ones, etc)"
189,127,25 - 44 years,Female,"25,001 - 50,000 rupees",Sindh Industrial Trading Estate (SITE),Not often (few times in many years),,,"Leisure (walking, being with loved ones, etc)"
190,128,15 - 24 years,Male,"25,001 - 50,000 rupees",Gulshan-e-Iqbal,Often (multiple times in a year),,,"Leisure (walking, being with loved ones, etc)"
191,129,15 - 24 years,Male,"Up to 25,000 rupees",Korangi,Not often (few times in many years),,,"Leisure (walking, being with loved ones, etc)"
